actores,estado,fecha_estreno,generos,puntaje,temporadas,titulo
"Fares Landoulsi,Jane Adams,John Ortiz,Mehdi Dehbi,Melinda Page Hamilton,Michelle Monaghan,Sayyid El Alami,Stefania LaVie Owen,Tomer Sisley,Wil Traval",EMISION,2020,Drama,5,1,Mesias
"Antonio Jaramillo,Carla Baratta,Clayton Cardenas,Danny Pino,Edward James Olmos,Emilio Rivera,J. D. Pardo,Michael Irby,Raoul Max Trujillo,Richard Cabral,Sarah Bolger",EMISION,2018,"Crimen,Drama,Series de Movistar+",5,2,Mayans M.C.
"Abigail Breslin,Billie Lourd,Emma Roberts,James Earl,Jamie Lee Curtis,John Stamos,Keke Palmer,Kirstie Alley,Lea Michele,Taylor Lautner",FINALIZADA,2015,"Comedia,Crimen,Misterio,Series de FOX",4.5,2,Scream Queens
Syra Madad,FINALIZADA,2020,"Documental,Series de Netflix",3,1,Pandemia
"Arienne Mandi,Jacqueline Toboni,Jennifer Beals,Katherine Moennig,Leisha Hailey,Leo Sheng,Rosanny Zayas",EMISION,2020,Drama,3,1,L: Generación Q
"Anya Taylor-Joy,Cillian Murphy,Finn Cole,Harry Kirton,Helen McCrory,Kate Phillips,Paul Anderson,Sam Claflin,Sophie Rundle",EMISION,2013,"Crimen,Drama,Series de BBC One,Series de BBC Two",3.5,5,Peaky Blinders
"Aziz Dyab,Eli Rosen,Felix Mayr,Ronit Asheri,Safinaz Sattar,אהרון אלטרס,אלי רוזן,אלכס ריד,ג'ף וילבוש,גרא סנדלר,דייוויד מנדלבאום,דיליה מאייר",FINALIZADA,2020,"Drama,Series de Netflix",4,1,Poco Ortodoxa
"Andre Royo,Clarke Peters,Corey Parker Robinson,Deirdre Lovejoy,Domenick Lombardozzi,Dominic West,Frankie Faison,Hassan Johnson,Isiah Whitlock Jr.,J.D. Williams,John Doman,Lance Reddick",FINALIZADA,2002,"Crimen,Drama,Series de HBO GO",5,5,The Wire
"Addyson Douglas,Alison Thornton,Brittany Raymond,Brittany Spiteri,Brittany Teo,Haley Chau,Herizen F. Guardiola,Kaden Hebb,Marlo Kelly,Paul Fitzgerald,Rob Heaps,Taveeta Szymanowicz",EMISION,2019,"Crimen,Drama,Misterio,Series de USA Network",3.5,1,Rétame
"J.G. Quintel,Janie Haddad Tompkins,Jeff Bennett,Mark Hamill,Roger Craig Smith,Sam Marin,William Salyers",FINALIZADA,2010,"Animación,Aventura,Comedia,Series de Cartoon Network",4,8,Un Show Mas
"Aaron Hilmer,Alexander Scheer,Annika Kuhl,Emily Kusche,Laura Tonke,Lea van Acken,Marc Benjamin,Roland Møller,Wotan Wilke Möhring",FINALIZADA,2020,"Drama,Ciencia ficción,Fantasía",4,1,Sloborn
"Astrid Meloni,Federica Fracassi,Filippo Scotti,Manuela Mandracchia,Nathan Macchioni,Nina Fotaras,Paolo Bernardini",EMISION,2020,"Drama,Ciencia ficción,Fantasía",4,1,Luna Nera
"Caitriona Balfe,Sam Heughan",EMISION,2014,"Aventura,Drama,Fantasía,Romance,Series de Starz",4.5,5,Outlander
"Alan Ruck,Brian Cox,J. Smith-Cameron,Jeremy Strong,Kieran Culkin,Matthew Macfadyen,Nicholas Braun,Sarah Snook",EMISION,2018,"Drama,Series de HBO GO",0,2,Succession
"Angelica Ross,Billy Porter,Dominique Jackson,Hailie Sahar,Indya Moore,MJ Rodriguez,Ryan Jamaal Swain",EMISION,2018,"Drama,Series de FX,Series de Netflix",5,3,Pose
"Ben Mendelsohn,Bill Camp,Cynthia Erivo,Jason Bateman,Jeremy Bobb,Julianne Nicholson,Marc Menchaca,Mare Winningham,Paddy Considine,Yul Vazquez",EMISION,2020,"Crimen,Drama,Misterio",4,1,The Outsider
"Alex Roe,Eline Powell,Fola Evans-Akingbola,Ian Verdun,Rena Owen",EMISION,2018,"Drama,Ciencia ficción,Fantasía",4.5,3,Siren
"Klea Scott,Lance Henriksen",FINALIZADA,1996,"Crimen,Drama,Misterio,Series de FOX",5,3,Millennium
,FINALIZADA,2020,"Drama,Familia,Series de Caracol TV",5,1,La venganza de Analía
"Carol Rovira,Lucía Martín Abello,Paula Usero",EMISION,2020,"Drama,Series de Atresplayer",3,2,Luimelia
Janelle Monáe,FINALIZADA,2020,"Documental,Series de Netflix",1.5,1,Sex Explained
"Bill Bellamy,Blair Underwood,Carmen Ejogo,Garrett Morris,Kevin Carroll,Mouna Traoré,Octavia Spencer,Tiffany Haddish,Zahra Bentham",FINALIZADA,2020,"Drama,Series de Netflix",5,1,Madam C. J. Walker: Una mujer hecha a sí misma
"Amir Arison,Diego Klattenhoff,Harry Lennix,Hisham Tawfiq,James Spader,Megan Boone",EMISION,2013,"Crimen,Drama,Misterio,Series de NBC",4,7,The Blacklist
